step,pair,hasManifold,contactCount,penetration,normalX,normalY,normalZ,hasOrientedManifold,orientedContactCount,orientedPenetration,orientedNormalX,orientedNormalY,orientedNormalZ,axisContact,axisPenetration,axisIndex,firstUpY,secondUpY,firstPositionX,firstPositionY,secondPositionX,secondPositionY
13,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999946,0.99999714,0.0005060111,0.50063634,0.0032699856,2.4825137
13,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999946,0.99999726,0.0005060111,0.50063634,0.0031760188,3.480521
13,box02-box03,true,4,0.007621646,0,-1,0,true,4,0.005254507,-0.0010784562,-0.9999966,0.002366925,true,0.007621646,1,0.9999966,0.99999714,0.0023810132,1.4872077,0.0032699856,2.4825137
13,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999966,0.99999726,0.0023810132,1.4872077,0.0031760188,3.480521
13,box03-box04,true,4,0.0044341087,0,-1,0,true,4,0.0020937324,1.5565573E-05,-0.99999714,0.0024006895,true,0.0044341087,1,0.99999714,0.99999726,0.0032699856,2.4825137,0.0031760188,3.480521
14,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.9999991,0,-0.5,0.0006137613,0.50085574
14,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999624,0,-0.5,0.0027238773,1.4869893
14,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999666,0,-0.5,0.003708603,2.4822161
14,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999966,0,-0.5,0.0037085412,3.480184
14,box01-box02,true,4,0.016526878,0,-1,0,true,4,0.014914513,-0.0011229754,-0.99999624,0.0024902327,true,0.016526878,1,0.9999991,0.99999624,0.0006137613,0.50085574,0.0027238773,1.4869893
14,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999991,0.99999666,0.0006137613,0.50085574,0.003708603,2.4822161
14,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.9999991,0.9999966,0.0006137613,0.50085574,0.0037085412,3.480184
14,box02-box03,true,4,0.007899523,0,-1,0,true,4,0.0053542256,-0.0011229754,-0.99999624,0.0024902327,true,0.007899523,1,0.99999624,0.99999666,0.0027238773,1.4869893,0.003708603,2.4822161
14,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999624,0.9999966,0.0027238773,1.4869893,0.0037085412,3.480184
14,box03-box04,true,4,0.0046747923,0,-1,0,true,4,0.0020828843,-5.4551696E-05,-0.99999666,0.002591815,true,0.0046747923,1,0.99999666,0.9999966,0.003708603,2.4822161,0.0037085412,3.480184
15,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.9999987,0,-0.5,0.00072458154,0.5010817
