step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
15,0,1,0,109,0.001669561,-0.49999478,0.49832848,-0.4999843,0.00011510575,-1,-3.1449334E-05
15,0,1,1,62,0.0016596145,0.49998254,0.49834234,0.49990818,0.00011510575,-1,-3.1449334E-05
15,0,1,2,126,0.0017393493,-0.49999467,0.49822724,0.4999083,0.00011510575,-1,-3.1449334E-05
15,0,1,3,-20,0.0015898262,0.49998248,0.49844357,-0.49998435,0.00011510575,-1,-3.1449334E-05
15,1,2,0,-4,0.0011128881,-0.5000575,0.49888018,-0.49994943,0.000115105744,-1,-0.00010124508
15,1,2,1,111,0.001105835,0.4999369,0.4989011,0.5000442,0.000115105744,-1,-0.00010124508
15,1,2,2,126,0.0011626587,-0.5000574,0.49872917,0.5000444,0.000115105744,-1,-0.00010124508
15,1,2,3,47,0.0010560644,0.4999367,0.4990521,-0.49994954,0.000115105744,-1,-0.00010124508
15,0,0,0,-4,0.001114719,-0.49998233,-0.49888724,-0.50001574,-1.1946197E-12,1,0
15,0,0,1,-21,0.0011107993,0.5000177,-0.49888724,0.49998423,-1.1946197E-12,1,0
15,0,0,2,-5,0.0011461683,-0.4999823,-0.49888724,0.4999843,-1.1946197E-12,1,0
15,0,0,3,-20,0.0010793499,0.50001764,-0.49888724,-0.50001574,-1.1946197E-12,1,0
16,2,3,0,30,0.0005563693,-0.50005746,0.49943534,-0.49985778,0.000120796736,-1,-9.820475E-05
16,2,3,1,111,0.0005555932,0.49992985,0.4994527,0.50004894,0.000120796736,-1,-9.820475E-05
16,2,3,2,-5,0.00056159974,-0.5000572,0.4993319,0.5000492,0.000120796736,-1,-9.820475E-05
16,2,3,3,94,0.00055036275,0.49992958,0.49955612,-0.49985805,0.000120796736,-1,-9.820475E-05
16,0,1,0,109,0.0016703203,-0.49999082,0.4983291,-0.49999267,1.5807793E-05,-1,-1.4653206E-05
16,0,1,1,62,0.0016619462,0.4999921,0.49833864,0.49990457,1.5807793E-05,-1,-1.4653206E-05
16,0,1,2,126,0.0017164036,-0.4999907,0.49826837,0.4999047,1.5807793E-05,-1,-1.4653206E-05
16,0,1,3,-20,0.0016158628,0.4999921,0.49839938,-0.49999273,1.5807793E-05,-1,-1.4653206E-05
16,1,2,0,-4,0.0011140839,-0.50003517,0.49888116,-0.49996963,7.026613E-05,-1,-6.0741313E-05
16,1,2,1,111,0.0011070234,0.49995926,0.49889773,0.500024,7.026613E-05,-1,-6.0741313E-05
16,1,2,2,126,0.0011515472,-0.50003505,0.49878296,0.50002426,7.026613E-05,-1,-6.0741313E-05
16,1,2,3,47,0.0010695603,0.49995905,0.49899593,-0.49996975,7.026613E-05,-1,-6.0741313E-05
16,0,0,0,-4,0.0011120251,-0.4999921,-0.49888855,-0.50000733,-5.738193E-13,1,-9.094947E-13
16,0,0,1,-21,0.0011108705,0.5000079,-0.49888855,0.49999264,-5.738193E-13,1,-9.094947E-13
16,0,0,2,-5,0.0011266783,-0.49999207,-0.49888855,0.4999927,-5.738193E-13,1,-9.094947E-13
